Ensembl.Gene.ID	Chromosome.Name	Gene.Start.bp	Gene.End.bp	HGNC.symbol
ENSG00000215368	18	5132758	5133171	AP005380.1
ENSG00000231824	18	5143672	5197255	C18orf42
ENSG00000228344	18	5232875	5238332	AP001496.1
ENSG00000198081	18	5289018	5296039	ZFP161
ENSG00000082397	18	5392383	5630640	EPB41L3
ENSG00000252576	18	5558188	5558272	snR65
ENSG00000252572	18	5579413	5579484	SNORD112
ENSG00000252432	18	5661944	5662049	AP001032.1
ENSG00000261738	18	5748818	5795900	RP11-945C19.1.1
ENSG00000206432	18	5890184	5892103	TMEM200C
ENSG00000154655	18	5954705	6414910	L3MBTL4
ENSG00000200637	18	6017722	6017838	RNU5F-3P
ENSG00000199272	18	6454961	6455067	U6
ENSG00000235552	18	6462143	6463009	CTD-2124B20.1.1
ENSG00000243591	18	6601539	6601828	AP001166.1
ENSG00000261627	18	6641970	6642477	RP11-91I8.1.1
ENSG00000088756	18	6729821	6915715	ARHGAP28
ENSG00000251897	18	6936911	6937019	U6
ENSG00000101680	18	6941743	7117813	LAMA1
ENSG00000206422	18	7231137	7232042	LRRC30
ENSG00000212626	18	7301018	7301151	SNORA48
ENSG00000173482	18	7567817	8406859	PTPRM
ENSG00000221631	18	7738109	7738223	AP000897.1
ENSG00000199856	18	7995568	7995782	U3
ENSG00000212067	18	8227101	8227183	AP005227.1
ENSG00000229442	18	8459156	8513727	AP001793.1.1
ENSG00000242985	18	8471829	8472126	AP001094.1
ENSG00000225212	18	8545638	8546003	AP001793.1
ENSG00000206418	18	8609443	8639380	RAB12
ENSG00000168502	18	8706513	8832776	CCDC165
ENSG00000252319	18	8720032	8720130	Y_RNA
ENSG00000242058	18	9020019	9020765	RP11-143J12.1.1
ENSG00000178127	18	9102628	9134343	NDUFV2
ENSG00000101745	18	9136758	9285206	ANKRD12
ENSG00000200883	18	9249647	9249744	Y_RNA
ENSG00000207092	18	9250108	9250209	Y_RNA
ENSG00000239087	18	9277977	9278077	snoU13
ENSG00000128791	18	9334765	9402418	TWSG1
ENSG00000017797	18	9475007	9538112	RALBP1
ENSG00000251994	18	9518117	9518258	U2
ENSG00000154845	18	9546789	9614567	PPP4R1
ENSG00000212572	18	9617962	9618070	U6
ENSG00000168461	18	9708228	9862553	RAB31
ENSG00000242651	18	9830327	9830624	AC006238.1
ENSG00000252680	18	9844714	9844843	5S_rRNA
ENSG00000168454	18	9885763	9888377	TXNDC2
ENSG00000101558	18	9913999	9960018	VAPA
ENSG00000223138	18	9923917	9924018	5S_rRNA
ENSG00000239031	18	10389895	10389997	snoU13
ENSG00000260913	18	10405130	10414512	RP11-243E13.1.1
ENSG00000154856	18	10454625	10488698	APCDD1
ENSG00000134265	18	10525873	10552762	NAPG
ENSG00000260779	18	10661930	10666884	RP11-856M7.1.1
ENSG00000154864	18	10670238	11148761	PIEZO2
ENSG00000236396	18	11609712	11610687	SLC35G4
ENSG00000257513	18	11619508	11639698	RP11-677O4.1.1
ENSG00000260759	18	11666455	11670164	RP11-677O4.2.1
ENSG00000141404	18	11689184	11885684	GNAL
ENSG00000255112	18	11851439	11854448	CHMP1B
ENSG00000154889	18	11883470	11908779	MPPE1
ENSG00000141401	18	11981427	12030876	IMPA2
ENSG00000212712	18	12056672	12057814	AP002414.1.1
ENSG00000256616	18	12075700	12076653	AP002414.1
ENSG00000181626	18	12094059	12129746	ANKRD62
ENSG00000200827	18	12098426	12098531	U6
ENSG00000176194	18	12254318	12277594	CIDEA
ENSG00000199702	18	12304090	12304193	U6
ENSG00000176014	18	12308070	12326568	TUBB6
ENSG00000221088	18	12325241	12325351	AP005264.1
ENSG00000141385	18	12328943	12377253	AFG3L2
ENSG00000251937	18	12400411	12400472	U7
ENSG00000141391	18	12407895	12432234	SLMO1
ENSG00000256786	18	12431581	12432232	AP001029.2
ENSG00000134278	18	12446511	12658133	SPIRE1
ENSG00000238309	18	12533423	12533524	snoU13
ENSG00000239357	18	12544871	12544980	AP001029.1
ENSG00000215527	18	12658205	12658712	AP005482.1.1
ENSG00000101624	18	12672631	12702773	CEP76
ENSG00000128789	18	12702425	12725739	PSMG2
ENSG00000201466	18	12760716	12760817	Y_RNA
ENSG00000260302	18	12774650	12775922	RP11-973H7.1.1
ENSG00000175354	18	12785477	12884337	PTPN2
ENSG00000085415	18	12947983	12987533	SEH1L
ENSG00000101639	18	12991361	13125051	CEP192
ENSG00000168675	18	13218786	13652753	C18orf1
ENSG00000177150	18	13663346	13726591	FAM210A
ENSG00000242707	18	13715095	13715367	AP001525.2
ENSG00000101654	18	13726660	13764557	RNMT
ENSG00000211528	18	13823914	13823985	AP001525.1
ENSG00000176136	18	13825543	13826861	MC5R
ENSG00000185231	18	13882043	13915535	MC2R
ENSG00000243779	18	13919602	13919922	RP11-681N23.1.1
ENSG00000175322	18	14099942	14132489	ZNF519
ENSG00000252234	18	14118593	14118701	AC006557.2
ENSG00000175319	18	14152998	14153075	AC006557.1
ENSG00000186481	18	14179096	14249455	ANKRD20A5P
ENSG00000212329	18	14190699	14190805	U6
ENSG00000187589	18	14377545	14378636	TERF1P2
ENSG00000183206	18	14507338	14543599	POTEC
ENSG00000200132	18	14531675	14531781	U6
ENSG00000180777	18	14748239	14852737	ANKRD30B
ENSG00000200645	18	14759187	14759293	U6
ENSG00000215512	18	15307662	15330281	AP005901.1.1
ENSG00000222087	18	15320839	15320943	U6
ENSG00000260263	18	18526867	18528428	RP11-666N19.1.1
ENSG00000067900	18	18529701	18691812	ROCK1
ENSG00000216205	18	18642344	18642434	AC036178.1
ENSG00000244527	18	18699143	18699622	RP11-254G11.1.1
ENSG00000251886	18	18700365	18700467	U6
ENSG00000141449	18	18822203	19102791	GREB1L
ENSG00000221139	18	19030614	19030717	SNORD23
ENSG00000141446	18	19109264	19180845	ESCO1
ENSG00000167088	18	19192260	19210204	SNRPD1
ENSG00000158201	18	19230858	19284766	ABHD3
ENSG00000221493	18	19263471	19263558	MIR320C1
ENSG00000252677	18	19291911	19292080	SNORA81
ENSG00000200750	18	19304080	19304190	Y_RNA
ENSG00000101752	18	19321281	19450918	MIB1
ENSG00000242971	18	19373844	19374113	AC091038.1
ENSG00000199977	18	19397585	19397789	SNORA73
ENSG00000207786	18	19405659	19405746	MIR133A1
ENSG00000207694	18	19408965	19409049	MIR1-2
ENSG00000243303	18	19434601	19434948	RP11-268I9.1.1
ENSG00000252325	18	19459762	19459865	U6
ENSG00000222520	18	19508946	19509055	5S_rRNA
ENSG00000221363	18	19710564	19710690	U6atac
ENSG00000141448	18	19749404	19782491	GATA6
ENSG00000201852	18	19760073	19760179	U6
ENSG00000238907	18	19840539	19840640	snoU13
ENSG00000255212	18	19993564	19994830	RP11-863N1.2.1
ENSG00000212710	18	19993573	19997878	CTAGE1
ENSG00000239490	18	20166428	20167190	RP11-863N1.1.1
ENSG00000206827	18	20227545	20227651	U6
ENSG00000238537	18	20481487	20481589	snoU13
ENSG00000101773	18	20513290	20606449	RBBP8
ENSG00000242182	18	20584522	20584825	AC106033.1
ENSG00000223023	18	20604559	20604666	Y_RNA
ENSG00000134508	18	20714528	20840434	CABLES1
ENSG00000222999	18	20716399	20716476	AC105247.1
ENSG00000134490	18	20777719	21017925	TMEM241
ENSG00000101782	18	21032787	21063104	RIOK3
ENSG00000199357	18	21036335	21036431	Y_RNA
ENSG00000141452	18	21083462	21111771	C18orf8
ENSG00000141458	18	21111401	21166451	NPC1
ENSG00000199366	18	21161980	21162085	Y_RNA
ENSG00000154065	18	21178890	21242849	ANKRD29
ENSG00000240442	18	21191674	21191827	AC010853.1
ENSG00000239366	18	21252214	21252712	RP11-609K12.1.1
ENSG00000053747	18	21269562	21535030	LAMA3
ENSG00000215051	18	21289784	21290251	RP11-609K12.2.1
ENSG00000221389	18	21474079	21474170	AC010754.1
ENSG00000168234	18	21572737	21715573	TTC39C
ENSG00000206863	18	21704134	21704249	RNU5A-6P
ENSG00000154040	18	21718942	21741564	CABYR
ENSG00000141447	18	21742008	21977823	OSBPL1A
ENSG00000199874	18	21750469	21750587	5S_rRNA
ENSG00000242400	18	21759005	21759255	AC090772.1
ENSG00000206766	18	21798264	21798368	U6
ENSG00000242521	18	21868882	21868958	AC023983.1
ENSG00000212051	18	21901650	21901699	MIR320C2
ENSG00000154059	18	22006580	22033499	IMPACT
ENSG00000199636	18	22009469	22009573	Y_RNA
ENSG00000134489	18	22040593	22059921	HRH4
ENSG00000229248	18	22596398	22597168	AC104961.1
ENSG00000198795	18	22641888	22932214	ZNF521
ENSG00000242216	18	23398198	23398496	AC090363.1
ENSG00000141380	18	23596219	23671164	SS18
ENSG00000243925	18	23678803	23679190	RP11-786F14.1.1
ENSG00000154611	18	23713816	23773319	PSMA8
ENSG00000188985	18	23749724	23751313	AC016839.1
ENSG00000141384	18	23806409	23971642	TAF4B
ENSG00000252921	18	23879079	23879219	U3
ENSG00000207160	18	23946265	23946370	U6
ENSG00000134504	18	24034874	24209206	KCTD1
ENSG00000252846	18	24166678	24166762	AC090206.1
ENSG00000212367	18	24269281	24269493	U3
ENSG00000171885	18	24432002	24445749	AQP4
ENSG00000260372	18	24445272	24515910	CHST9-AS1
ENSG00000154080	18	24495597	24765289	CHST9
ENSG00000244329	18	24935370	24935728	RP11-26N15.1.1
ENSG00000170558	18	25530930	25757410	CDH2
ENSG00000227279	18	25534483	25543651	AC015933.2.1
ENSG00000251719	18	26628584	26628683	U6
ENSG00000212085	18	26776406	26776492	AC105245.1
ENSG00000221731	18	27063293	27063388	AC091321.1
ENSG00000251702	18	28564072	28564181	U6
ENSG00000134762	18	28570052	28622781	DSC3
ENSG00000261521	18	28638806	28639359	RP11-408H20.1.1
ENSG00000134755	18	28645940	28682378	DSC2
ENSG00000238376	18	28652470	28652573	snoU13
ENSG00000134765	18	28709199	28742819	DSC1
ENSG00000134760	18	28898052	28936992	DSG1
ENSG00000207019	18	28925325	28925430	U6
ENSG00000175065	18	28956740	28993880	DSG4
ENSG00000207240	18	28962280	28962393	Y_RNA
ENSG00000134757	18	29027758	29058665	DSG3
ENSG00000046604	18	29078027	29128813	DSG2
ENSG00000118271	18	29171689	29178984	TTR
ENSG00000118276	18	29202209	29264686	B4GALT6
ENSG00000252379	18	29249252	29249341	U6
ENSG00000259985	18	29265618	29266786	RP11-549B18.1.1
ENSG00000200472	18	29298856	29299171	7SK
ENSG00000141437	18	29339525	29340843	MCART2
ENSG00000153339	18	29409136	29523063	TRAPPC8
ENSG00000222320	18	29517496	29517602	U6
ENSG00000101695	18	29598335	29653176	RNF125
ENSG00000214917	18	29655848	29656235	RP11-53I6.1.1
ENSG00000134758	18	29671828	29711524	RNF138
ENSG00000238982	18	29674467	29674569	snoU13
ENSG00000199373	18	29756013	29756131	5S_rRNA
ENSG00000141434	18	29769987	29800364	MEP1B
ENSG00000222395	18	29843098	29843201	Y_RNA
ENSG00000141441	18	29843506	30050447	FAM59A
ENSG00000215492	18	29991471	29993200	HNRNPA1P7
ENSG00000260389	18	30091626	30094597	WBP11P1
ENSG00000221621	18	30106105	30106185	AC009835.1
ENSG00000197705	18	30252634	30352974	KLHL14
ENSG00000228835	18	30349758	30354376	AC012123.1.1
ENSG00000243355	18	30359002	30359249	RP11-57G22.1.1
ENSG00000166960	18	30517367	31020685	C18orf34
ENSG00000141431	18	31158541	31327377	ASXL3
ENSG00000101746	18	31431064	31803515	NOL4
ENSG00000199204	18	31581662	31581763	Y_RNA
ENSG00000134769	18	32073254	32471808	DTNA
ENSG00000242761	18	32153951	32154569	RP11-115P21.1.1
ENSG00000221409	18	32399910	32399995	AC068506.1
ENSG00000166974	18	32556892	32725381	MAPRE2
ENSG00000186812	18	32820994	32839191	ZNF397
ENSG00000186814	18	32831023	32870196	ZSCAN30
ENSG00000257267	18	32870246	32890730	ZNF271
ENSG00000172466	18	32912176	32924420	ZNF24
ENSG00000186496	18	32946661	32957301	ZNF396
ENSG00000239683	18	32963318	32963989	RP11-322E11.1.1
ENSG00000153391	18	33034786	33077955	INO80C
ENSG00000141429	18	33161003	33291798	GALNT1
ENSG00000260728	18	33296334	33297942	RP11-873E20.1.1
ENSG00000207797	18	33484781	33484889	MIR187
ENSG00000141428	18	33552046	33559241	C18orf21
ENSG00000141425	18	33569787	33647539	RPRD1A
ENSG00000141424	18	33688495	33709357	SLC39A6
ENSG00000134759	18	33709407	33757909	ELP2
ENSG00000260552	18	33759959	33767411	RP11-49I11.1.1
ENSG00000075643	18	33767482	33852120	MOCOS
ENSG00000134775	18	33877702	34360018	FHOD3
ENSG00000252078	18	34222576	34222647	SNORD112
ENSG00000134779	18	34376035	34409158	TPGS2
ENSG00000150477	18	34409069	34811481	KIAA1328
ENSG00000260826	18	34814082	34816205	RP11-95O2.1.1
ENSG00000101489	18	34823010	35146000	CELF4
ENSG00000243516	18	35252652	35253139	RP11-19F9.1.1
ENSG00000222704	18	36596011	36596308	7SK
ENSG00000253038	18	36613971	36614074	U6
ENSG00000175886	18	36914836	36915639	AC011139.1.1
ENSG00000212354	18	37258484	37258586	U6
ENSG00000261715	18	37646250	37679197	RP11-653G8.2.1
ENSG00000243399	18	37723890	37724468	RP11-653G8.1.1
ENSG00000238333	18	38052785	38052846	U7
ENSG00000225253	18	39399018	39399386	AC011225.1.1
ENSG00000078142	18	39535171	39667794	PIK3C3
ENSG00000253040	18	39850554	39850680	5S_rRNA
ENSG00000152214	18	40323192	40695657	RIT2
ENSG00000132872	18	40847859	40857615	SYT4
ENSG00000202250	18	41412124	41412230	U6
ENSG00000202060	18	41651548	41651666	5S_rRNA
ENSG00000260149	18	42256892	42259682	RP11-456K23.1.1
ENSG00000152217	18	42260138	42648475	SETBP1
ENSG00000132874	18	43194766	43263072	SLC14A2
ENSG00000141469	18	43304092	43332485	SLC14A1
ENSG00000197046	18	43405545	43422521	SIGLEC15
ENSG00000152223	18	43427574	43547240	EPG5
ENSG00000152229	18	43563502	43652238	PSTPIP2
ENSG00000222179	18	43569619	43569911	7SK
ENSG00000252034	18	43656970	43657065	Y_RNA
ENSG00000152234	18	43664110	43684300	ATP5A1
ENSG00000152240	18	43684298	43708299	HAUS1
ENSG00000251939	18	43701581	43701687	U6
ENSG00000152242	18	43753988	43846954	C18orf25
ENSG00000141622	18	43914187	44040783	RNF165
ENSG00000167210	18	44056935	44236996	LOXHD1
ENSG00000101638	18	44259081	44337132	ST8SIA5
ENSG00000240983	18	44302938	44303186	RP11-742D12.1.1
ENSG00000260044	18	44383187	44383857	RP11-687F6.1.1
ENSG00000078043	18	44392060	44497468	PIAS2
ENSG00000167216	18	44526787	44628613	KATNAL2
ENSG00000234298	18	44548658	44550534	TCEB3CL
ENSG00000183791	18	44554573	44556449	TCEB3C
ENSG00000206181	18	44558943	44561988	TCEB3B
ENSG00000167220	18	44633782	44676871	HDHD2
ENSG00000134049	18	44681413	44702745	IER3IP1
ENSG00000215474	18	44746293	44775554	SKOR2
ENSG00000201825	18	44760813	44760919	U6
ENSG00000261307	18	45027543	45084754	RP11-157P23.2.1
ENSG00000240715	18	45292923	45293163	AC026898.1
ENSG00000175387	18	45357922	45457515	SMAD2
ENSG00000184828	18	45553640	45935663	ZBTB7C
ENSG00000206944	18	45696155	45696261	U6
ENSG00000253033	18	45918962	45919021	U7
ENSG00000200872	18	46001858	46001971	5S_rRNA
ENSG00000134030	18	46065417	46389588	CTIF
ENSG00000101665	18	46446223	46477081	SMAD7
ENSG00000141627	18	46570172	46987079	DYM
ENSG00000177576	18	47008030	47013601	C18orf32
ENSG00000222690	18	47013743	47013792	MIR1539
ENSG00000215472	18	47014858	47018906	RPL17
ENSG00000202093	18	47015615	47015678	SNORD58C
ENSG00000206602	18	47017653	47017717	SNORD58A
ENSG00000206696	18	47018034	47018099	SNORD58B
ENSG00000101670	18	47088427	47119278	LIPG
ENSG00000167315	18	47309869	47340273	ACAA2
ENSG00000251992	18	47340503	47340646	SCARNA17
ENSG00000252139	18	47340731	47340813	SCARNA18
ENSG00000167306	18	47349156	47721451	MYO5B
ENSG00000201668	18	47397925	47398036	Y_RNA
ENSG00000200527	18	47472636	47472759	5S_rRNA
ENSG00000240663	18	47733368	47733645	AC105224.1
ENSG00000172361	18	47753563	47792865	CCDC11
ENSG00000141644	18	47793887	47808144	MBD1
ENSG00000154832	18	47808713	47814692	CXXC1
ENSG00000251997	18	47845372	47845490	5S_rRNA
ENSG00000154839	18	47901365	47920543	SKA1
ENSG00000221529	18	47927311	47927418	AC105227.1
ENSG00000239780	18	47984257	47985165	RP11-429H5.1.1
ENSG00000141639	18	48086484	48258196	MAPK4
ENSG00000134042	18	48321491	48351754	MRO
ENSG00000239689	18	48349947	48350490	RP11-54A1.1.1
ENSG00000082212	18	48405419	48476160	ME2
ENSG00000200752	18	48485637	48485749	Y_RNA
ENSG00000141642	18	48494386	48514491	ELAC1
ENSG00000141646	18	48494410	48611415	SMAD4
ENSG00000240820	18	48633122	48633416	AC091551.1
ENSG00000176624	18	48700920	48723690	MEX3C
ENSG00000207154	18	48810103	48810266	U1
ENSG00000227115	18	48918412	49088839	AC109315.1
ENSG00000238885	18	49072717	49072818	snoU13
ENSG00000215457	18	49371375	49372000	RP11-9H16.1.1
ENSG00000187323	18	49867158	51062269	DCC
ENSG00000221291	18	50463664	50463773	AC090660.1
ENSG00000260433	18	51105993	51107429	RP11-202D1.2.1
ENSG00000242945	18	51131625	51132095	RP11-202D1.1.1
ENSG00000221058	18	51612956	51613026	AC090666.1
ENSG00000134046	18	51677971	51751158	MBD2
ENSG00000207233	18	51748654	51748782	SNORA37
ENSG00000101751	18	51795889	51821101	POLI
ENSG00000174448	18	51850964	51880943	STARD6
ENSG00000166845	18	51884955	51908404	C18orf54
ENSG00000178690	18	52258390	52266724	C18orf26
ENSG00000243857	18	52411979	52412817	RP11-99A1.1.1
ENSG00000041353	18	52495708	52562747	RAB27B
ENSG00000166510	18	52568740	52626739	CCDC68
ENSG00000260718	18	52773135	52791537	CTD-2171N6.1.1
ENSG00000252437	18	52813777	52813876	5S_rRNA
ENSG00000196628	18	52889562	53332018	TCF4
ENSG00000242320	18	53303078	53303545	RP11-727C1.1.1
ENSG00000260930	18	53548919	53587430	RP11-214L13.1.1
ENSG00000206129	18	53670844	53858493	AC006305.1
ENSG00000201816	18	53746625	53746825	SNORA73
ENSG00000091164	18	54264439	54318505	TXNL1
ENSG00000091157	18	54318616	54698828	WDR7
ENSG00000206865	18	54420457	54420557	Y_RNA
ENSG00000212539	18	54624501	54624699	U3
ENSG00000258609	18	54721813	54739350	CTD-2526M8.1.1
ENSG00000228075	18	54814387	54815669	AC100775.1
ENSG00000202240	18	54951833	54951939	U6
ENSG00000177511	18	55019721	55036162	ST8SIA3
ENSG00000119547	18	55102917	55158530	ONECUT2
ENSG00000241617	18	55124062	55124234	AC090340.1
ENSG00000066926	18	55215515	55254004	FECH
ENSG00000134440	18	55267896	55289177	NARS
ENSG00000081923	18	55313658	55470327	ATP8B1
ENSG00000241726	18	55345854	55345925	TRNAG33P
ENSG00000241426	18	55346177	55346248	TRNAG35P
ENSG00000202159	18	55422626	55422732	U6
ENSG00000231544	18	55505708	55506196	RSL24D1P11
ENSG00000235028	18	55686021	55686293	AC090324.1
ENSG00000049759	18	55711619	56068772	NEDD4L
ENSG00000207778	18	56118306	56118390	MIR122
ENSG00000252330	18	56133495	56133559	AC105105.1
ENSG00000198796	18	56148479	56296189	ALPK2
ENSG00000252284	18	56267863	56267930	SNORD28
ENSG00000239659	18	56298486	56299357	RP11-126O1.1.1
ENSG00000172175	18	56338618	56421130	MALT1
ENSG00000201598	18	56472500	56472606	U6
ENSG00000199713	18	56486115	56486248	U8
ENSG00000074657	18	56529832	56653712	ZNF532
ENSG00000251870	18	56593429	56593528	U2
ENSG00000224367	18	56663966	56736570	AC040963.1.1
ENSG00000166562	18	56807087	56826068	SEC11C
ENSG00000134443	18	56887400	56898006	GRP
ENSG00000134438	18	56934267	56941318	RAX
ENSG00000166569	18	56962634	56985881	CPLX4
ENSG00000074695	18	56995055	57026503	LMAN1
ENSG00000183287	18	57102442	57364574	CCBE1
ENSG00000221471	18	57416909	57416989	AC098847.1
ENSG00000224161	18	57428790	57429137	RP11-824M15.1.1
ENSG00000141682	18	57567180	57571538	PMAIP1
ENSG00000239398	18	57640146	57640439	AC090377.1
ENSG00000256704	18	57677224	57678291	AC090377.2
ENSG00000252555	18	57685857	57685963	U6
ENSG00000242060	18	57816808	57817597	RP11-795H16.1.1
ENSG00000202468	18	57830800	57830940	U4
ENSG00000166603	18	58038564	58040001	MC4R
ENSG00000253011	18	58222376	58222457	AC010928.1
ENSG00000101542	18	59000988	59223006	CDH20
ENSG00000206769	18	59058828	59058936	U6
ENSG00000243256	18	59072091	59072438	RP11-453M1.1.1
ENSG00000260440	18	59415409	59421928	RP11-1096D5.1.1
ENSG00000176641	18	59475296	59560992	RNF152
ENSG00000197563	18	59711460	59854289	PIGN
ENSG00000134444	18	59854507	59974355	KIAA1468
ENSG00000141655	18	59992520	60054899	TNFRSF11A
ENSG00000199867	18	59998045	59998146	Y_RNA
ENSG00000241088	18	60082909	60083463	RP11-640A1.1.1
ENSG00000242784	18	60111440	60111504	AC100843.1
ENSG00000141664	18	60190658	60245793	ZCCHC2
ENSG00000243549	18	60317541	60317827	AC022046.1
ENSG00000081913	18	60382672	60647666	PHLPP1
ENSG00000206746	18	60398459	60398565	U6
ENSG00000215431	18	60491423	60492724	AC015989.1
ENSG00000171791	18	60790579	60987361	BCL2
ENSG00000238988	18	60861822	60861898	snoU13
ENSG00000119537	18	60994971	61034743	KDSR
ENSG00000119541	18	61056423	61089693	VPS4B
ENSG00000206075	18	61143994	61172318	SERPINB5
ENSG00000214318	18	61164222	61164633	ATP5G1P6
ENSG00000166634	18	61223393	61234244	SERPINB12
ENSG00000197641	18	61254223	61271873	SERPINB13
ENSG00000206073	18	61304493	61311532	SERPINB4
ENSG00000206072	18	61314813	61391127	SERPINB11
ENSG00000057149	18	61322431	61329197	SERPINB3
ENSG00000166396	18	61420169	61472604	SERPINB7
ENSG00000197632	18	61538926	61571124	SERPINB2
ENSG00000242550	18	61564408	61603345	SERPINB10
ENSG00000221887	18	61616535	61649008	HMSD
ENSG00000166401	18	61637159	61672278	SERPINB8
ENSG00000237314	18	61739392	61739887	AC021607.1.1
ENSG00000179676	18	61747243	61816264	LINC00305
ENSG00000236392	18	61814443	61826533	AC100848.1.1
ENSG00000241919	18	62036810	62036933	AC008245.1
ENSG00000252818	18	62216690	62216742	U7
ENSG00000244478	18	63142749	63142836	AC114688.1
ENSG00000081138	18	63417488	63552376	CDH7
ENSG00000252165	18	64092679	64092771	AC090393.1
ENSG00000071991	18	64168320	64271409	CDH19
ENSG00000221536	18	64320646	64320738	AC091643.1
ENSG00000238680	18	64613353	64613459	U6
ENSG00000260578	18	65149028	65152203	CTD-2541J13.1.1
ENSG00000171451	18	65173819	65184217	DSEL
ENSG00000260747	18	65945039	65945480	RP11-421N8.1.1
ENSG00000166479	18	66340925	66382535	TMX3
ENSG00000150636	18	66401969	66722426	CCDC102B
ENSG00000207072	18	66526171	66526277	U6
ENSG00000206052	18	67068284	67516323	DOK6
ENSG00000150637	18	67528097	67624160	CD226
ENSG00000176225	18	67671045	67872962	RTTN
ENSG00000170677	18	67956168	67997436	SOCS6
ENSG00000214255	18	68096396	68098361	RP11-644A7.1.1
ENSG00000239748	18	68179963	68180233	AC091646.1
ENSG00000260676	18	69187198	69246192	RP11-510D19.1.1
ENSG00000260457	18	69504275	69538030	RP11-723G8.1.1
ENSG00000141668	18	70203915	70211774	CBLN2
ENSG00000166342	18	70409671	70535184	NETO1
ENSG00000252598	18	70419187	70419286	5S_rRNA
ENSG00000261780	18	70992176	71017113	CTD-2354A18.1.1
ENSG00000241866	18	71412170	71412465	AC079070.1
ENSG00000141665	18	71740588	71815100	FBXO15
ENSG00000075336	18	71815746	71826197	TIMM21
ENSG00000260569	18	71878626	71879804	RP11-669I1.1.1
ENSG00000243856	18	71894741	71895037	AC090398.1
ENSG00000166347	18	71920528	71959251	CYB5A
ENSG00000206043	18	71983110	72026422	C18orf63
ENSG00000235297	18	72057119	72057532	RP11-504H5.1.1
ENSG00000259779	18	72076650	72080444	RP11-231E4.2.1
ENSG00000187773	18	72102963	72125179	FAM69C
ENSG00000133313	18	72163443	72190687	CNDP2
ENSG00000150656	18	72201675	72252261	CNDP1
ENSG00000215421	18	72342919	72777628	ZNF407
ENSG00000180011	18	72907063	72921303	ZADH2
ENSG00000179981	18	72922710	73001905	TSHZ1
ENSG00000206026	18	73121827	73139589	C18orf62
ENSG00000261194	18	73408034	73424340	RP11-704C2.1.1
ENSG00000101493	18	74069644	74207146	ZNF516
ENSG00000220032	18	74207477	74210045	RP11-17M16.1.1
ENSG00000229055	18	74401986	74405592	AC034110.1.1
ENSG00000252097	18	74512620	74512730	U6
ENSG00000130856	18	74536116	74682680	ZNF236
ENSG00000244229	18	74546385	74546844	RP11-162A12.1.1
ENSG00000197971	18	74690783	74845639	MBP
ENSG00000166573	18	74962505	74980858	GALR1
ENSG00000199392	18	75143519	75143645	SNORA25
ENSG00000252260	18	75575420	75575523	5S_rRNA
ENSG00000199728	18	75796739	75796845	U6
