Ensembl.Gene.ID	Chromosome.Name	Gene.Start.bp	Gene.End.bp	HGNC.symbol
ENSG00000154065	18	21178890	21242849	ANKRD29
ENSG00000240442	18	21191674	21191827	AC010853.1
ENSG00000239366	18	21252214	21252712	RP11-609K12.1.1
ENSG00000053747	18	21269562	21535030	LAMA3
ENSG00000215051	18	21289784	21290251	RP11-609K12.2.1
ENSG00000221389	18	21474079	21474170	AC010754.1
ENSG00000168234	18	21572737	21715573	TTC39C
ENSG00000206863	18	21704134	21704249	RNU5A-6P
ENSG00000154040	18	21718942	21741564	CABYR
ENSG00000141447	18	21742008	21977823	OSBPL1A
ENSG00000199874	18	21750469	21750587	5S_rRNA
ENSG00000242400	18	21759005	21759255	AC090772.1
ENSG00000206766	18	21798264	21798368	U6
ENSG00000242521	18	21868882	21868958	AC023983.1
ENSG00000212051	18	21901650	21901699	MIR320C2
ENSG00000154059	18	22006580	22033499	IMPACT
ENSG00000199636	18	22009469	22009573	Y_RNA
ENSG00000134489	18	22040593	22059921	HRH4
ENSG00000229248	18	22596398	22597168	AC104961.1
ENSG00000198795	18	22641888	22932214	ZNF521
ENSG00000242216	18	23398198	23398496	AC090363.1
ENSG00000141380	18	23596219	23671164	SS18
ENSG00000243925	18	23678803	23679190	RP11-786F14.1.1
ENSG00000154611	18	23713816	23773319	PSMA8
ENSG00000188985	18	23749724	23751313	AC016839.1
ENSG00000141384	18	23806409	23971642	TAF4B
ENSG00000252921	18	23879079	23879219	U3
ENSG00000207160	18	23946265	23946370	U6
ENSG00000134504	18	24034874	24209206	KCTD1
ENSG00000252846	18	24166678	24166762	AC090206.1
ENSG00000212367	18	24269281	24269493	U3
ENSG00000171885	18	24432002	24445749	AQP4
ENSG00000260372	18	24445272	24515910	CHST9-AS1
ENSG00000154080	18	24495597	24765289	CHST9
ENSG00000244329	18	24935370	24935728	RP11-26N15.1.1
ENSG00000170558	18	25530930	25757410	CDH2
ENSG00000227279	18	25534483	25543651	AC015933.2.1
ENSG00000251719	18	26628584	26628683	U6
ENSG00000212085	18	26776406	26776492	AC105245.1
ENSG00000221731	18	27063293	27063388	AC091321.1
ENSG00000251702	18	28564072	28564181	U6
ENSG00000134762	18	28570052	28622781	DSC3
ENSG00000261521	18	28638806	28639359	RP11-408H20.1.1
ENSG00000134755	18	28645940	28682378	DSC2
ENSG00000238376	18	28652470	28652573	snoU13
ENSG00000134765	18	28709199	28742819	DSC1
ENSG00000134760	18	28898052	28936992	DSG1
ENSG00000207019	18	28925325	28925430	U6
ENSG00000175065	18	28956740	28993880	DSG4
ENSG00000207240	18	28962280	28962393	Y_RNA
ENSG00000134757	18	29027758	29058665	DSG3
ENSG00000046604	18	29078027	29128813	DSG2
ENSG00000118271	18	29171689	29178984	TTR
ENSG00000118276	18	29202209	29264686	B4GALT6
ENSG00000252379	18	29249252	29249341	U6
ENSG00000259985	18	29265618	29266786	RP11-549B18.1.1
ENSG00000200472	18	29298856	29299171	7SK
ENSG00000141437	18	29339525	29340843	MCART2
ENSG00000153339	18	29409136	29523063	TRAPPC8
ENSG00000222320	18	29517496	29517602	U6
ENSG00000101695	18	29598335	29653176	RNF125
ENSG00000214917	18	29655848	29656235	RP11-53I6.1.1

